snapshot_id,fold_id,anchor_role,block_id,anchor_utc,cutoff_utc,cell_id,row,column,clipped_area_m2,base_event_count,parent_row,parent_column,parent_event_count,estimate_source,status,raw_mc,main_common_mc4_training_allowed,exclude_indeterminate_training_allowed,supported_area_contributor
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000000,7,0,250000000000.0,70,3,0,202,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000001,7,1,250000000000.0,83,3,0,202,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000002,7,2,191666483395.32416,42,3,1,81,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000003,7,3,2298776648.082298,0,3,1,81,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000006,8,-6,15385288772.278814,45,4,-3,2334,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000005,8,-5,232223638076.97324,1085,4,-3,2334,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000004,8,-4,250000000000.0,138,4,-2,1011,parent_1000km,supported,3.3,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000003,8,-3,250000000000.0,89,4,-2,1011,parent_1000km,supported,3.3,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000002,8,-2,250000000000.0,180,4,-1,435,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I2,C_DEV_2000_2004,inner_block_start,I2,1989-12-31T16:00:00.000000Z,1989-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000001,8,-1,249425621182.58255,210,4,-1,435,base_500km,supported,3.2,True,True,True
