fold_id,role,horizon_days,axis,statistical_status,availability_status,evaluable,issue_count,magnitude_bin,issue_target_pair_count,unique_event_count,episode_sampling_status,touched_episode_count,anchor_target_count,subsequent_target_event_count,episode_balanced_total_weight
C_DEV_2010_2014,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,256,m5_6,399,93,formal_fixed_anchor_episode_population,77,77,16,77.00000000000001
C_DEV_2010_2014,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,256,m6_plus,62,15,formal_fixed_anchor_episode_population,14,14,1,14.0
C_DEV_2010_2014,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m4_plus,280,280,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m5_6,51,51,formal_fixed_anchor_episode_population,40,40,11,39.266666666666666
C_DEV_2010_2014,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m6_plus,5,5,formal_fixed_anchor_episode_population,5,5,0,5.0
C_DEV_2010_2014,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m4_plus,7137,577,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m5_6,1149,93,formal_fixed_anchor_episode_population,77,77,16,77.00000000000001
C_DEV_2010_2014,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m6_plus,185,15,formal_fixed_anchor_episode_population,14,14,1,14.0
C_DEV_2010_2014,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m4_plus,405,405,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m5_6,65,65,formal_fixed_anchor_episode_population,55,55,10,54.166666666666664
C_DEV_2010_2014,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m6_plus,8,8,formal_fixed_anchor_episode_population,8,8,0,8.0
C_DEV_2010_2014,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m4_plus,13415,577,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m5_6,2180,93,formal_fixed_anchor_episode_population,77,77,16,77.00000000000001
C_DEV_2010_2014,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m6_plus,325,15,formal_fixed_anchor_episode_population,14,14,1,14.0
C_DEV_2010_2014,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m4_plus,491,491,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m5_6,84,84,formal_fixed_anchor_episode_population,69,69,15,69.00000000000001
C_DEV_2010_2014,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m6_plus,12,12,formal_fixed_anchor_episode_population,11,11,1,11.0
C_DEV_2010_2014,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,208,m4_plus,23971,577,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,208,m5_6,4007,93,formal_fixed_anchor_episode_population,77,77,16,77.00000000000001
C_DEV_2010_2014,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,208,m6_plus,558,15,formal_fixed_anchor_episode_population,14,14,1,14.0
C_DEV_2010_2014,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m4_plus,474,474,not_applicable_training_diagnostic_bin,,,,
C_DEV_2010_2014,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m5_6,76,76,formal_fixed_anchor_episode_population,62,62,14,62.00000000000001
C_DEV_2010_2014,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m6_plus,10,10,formal_fixed_anchor_episode_population,9,9,1,9.0
C_DEV_2015_2019,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m4_plus,474,474,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m5_6,70,70,formal_fixed_anchor_episode_population,63,63,7,63.0
C_DEV_2015_2019,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m6_plus,11,11,formal_fixed_anchor_episode_population,11,11,0,11.0
C_DEV_2015_2019,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m4_plus,101,101,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m5_6,16,16,formal_fixed_anchor_episode_population,15,15,1,15.0
