magnitude_bin,episode_id,anchor_event_id,anchor_time_utc,anchor_magnitude,maximum_magnitude,member_count,member_time_min_utc,member_time_max_utc,member_event_ids_sha256,member_event_ids
m5_6,7623407419a170e73f7a2301772cf3e5fd555b6ac12253e8050711aadb55f75c,eqv1_rrlanozgcbnlz4vwon5zy5is6e,1998-06-06T11:06:27Z,5.1,5.3,2,1998-06-06T11:06:27Z,1998-06-07T11:13:08Z,9d9e11f6cf7d8ff9dc177e71fed6333ccba41d4b99f93437d8e537fbc042af1f,eqv1_rrlanozgcbnlz4vwon5zy5is6e|eqv1_xqmr6jn5vfjju3z5qt6wrwtd7r
m5_6,9384f413c8c746115c8b7cc37500e203a59078671388df9b10739a7be990e2b8,eqv1_vczj5bpiwgvqvy6hikjmqzhhvj,1998-06-25T06:39:18Z,5.2,5.2,1,1998-06-25T06:39:18Z,1998-06-25T06:39:18Z,5b4fea7d4d1d8e7b807b3e663a474e5cf1e4e91061d20fd0abb1639a25e4d98c,eqv1_vczj5bpiwgvqvy6hikjmqzhhvj
m5_6,d682845dc47d0cc4bc6662091fe51855e54fdac9f978dcb838c6ded1ceb95517,eqv1_24jgmj3xci4asno6slbbw57axh,1998-07-21T14:40:45Z,5.2,5.2,1,1998-07-21T14:40:45Z,1998-07-21T14:40:45Z,07aa4fe6b82fffa99b206f7f5d812c89da0b3ea9454a1b177f5b3172365931f2,eqv1_24jgmj3xci4asno6slbbw57axh
m5_6,3423c27b3a99701b494e6515fc0cab7bfc6a68e3824a485ccde8b4ea736d4dcd,eqv1_2hyc6hvzjkp655kakwu3ykgkui,1998-07-28T04:51:41Z,5.5,5.5,1,1998-07-28T04:51:41Z,1998-07-28T04:51:41Z,ebd72c163999500731bee6afe89d444c7408074f209f0914d522f585b1376649,eqv1_2hyc6hvzjkp655kakwu3ykgkui
m5_6,899a55d5db3c56116a0d0a36b56bc8fa184c13e6f65df34a9e557ff75d04cdb6,eqv1_n4ef3gwxnulfjkl7t3oh7mmikr,1998-08-28T22:01:56Z,5.2,5.2,2,1998-08-28T22:01:56Z,1998-08-30T03:37:49Z,2f1da16e9e4ddd512a686234fc7efcb40b2a93317a49080ff533bd997255990e,eqv1_n4ef3gwxnulfjkl7t3oh7mmikr|eqv1_o2okzqswldkdnzos24bvpdhq7i
m5_6,aa18515cdd849ed8962a5d78c5920cc6111bd44f244170302578e631cd353f1b,eqv1_zbxjnpossgweinwhi372jj44lp,1998-09-03T06:43:00Z,5.1,5.2,2,1998-09-03T06:43:00Z,1998-10-02T17:01:56Z,2c305cc1d4a4a43404991264d3fdf053dc580afa177ab3cd3ad42876210918e6,eqv1_zbxjnpossgweinwhi372jj44lp|eqv1_utsnym3qs5ucxtiyz6y7wwolju
m5_6,c4ba9d4b029c5688421ccf8610d288e5dc3e69526a470bd766aada17ba4820de,eqv1_cz6jquufhls5lvj7umtz6bipc4,1998-09-26T18:27:05Z,5.0,5.0,1,1998-09-26T18:27:05Z,1998-09-26T18:27:05Z,aa0b74425e7d32ddce41ba220f1afe3baea9f85afb12f9943ae331660b412af4,eqv1_cz6jquufhls5lvj7umtz6bipc4
m5_6,3bd563ba834854c62b507d46d944b395723c0b6fc014bb17caf6225ae884cdcd,eqv1_c3vvurhitbjab6zvtejmtn44kl,1998-09-30T02:29:56Z,5.5,5.5,2,1998-09-30T02:29:56Z,1998-10-05T10:24:49Z,7f11a37cbe3835bb3f617adffa5d79c9c1a4b27ff18b47f255b2ac8dfb90a8f1,eqv1_c3vvurhitbjab6zvtejmtn44kl|eqv1_tty5mh723pdutmvc3nn3fsuvj2
m5_6,39ea12b62a71bf948960da45beb90f369ef13afd0b1ee69ccc83b36649ddbe00,eqv1_45oeb3seiz5bjwqpvnhrp74l6y,1998-10-02T12:49:30Z,5.3,5.3,2,1998-10-02T12:49:30Z,1998-10-26T20:01:39Z,dfe78a8be3ce1c8d734add863deff5bba68287cfe50d9c98740859934e620b51,eqv1_45oeb3seiz5bjwqpvnhrp74l6y|eqv1_7dadm3ng63neik72rovsdfvu53
m5_6,327c2576dd73a5ac9ccb3dc557d273729a182bcecd27e3275a4fd18f0a77e6ff,eqv1_w7onds5x3dvtntixaqzwhl4u5h,1998-11-19T11:31:13Z,5.0,5.0,1,1998-11-19T11:31:13Z,1998-11-19T11:31:13Z,7447c5afebf4262dac6d295e1e7937c30f01a3f953b0be0f0e9abf1ce477936d,eqv1_w7onds5x3dvtntixaqzwhl4u5h
